Número de personas en el hogar;Número de personas en la unidad de gasto;Ingreso per cápita con arriendo;Ingreso total con arriendo;Ingreso total sin arriendo;Pobreza;Número de personas en el hogar,Número de personas en la unidad de gasto,Ingreso per cápita con arriendo,Ingreso total con arriendo,Ingreso total sin arriendo,Pobreza;;;;Ingreso total sin arriendo,Pobreza,Número de personas en el hogar,Número de personas en la unidad de gasto,Ingreso per cápita con arriendo,Ingreso total con arriendo,Ingreso total sin arriendo,Pobreza,,,
3;3;2200000;2200000;733.333.333.333.333;0;3,3,2200000,2200000,733333333333333,0;;;;733333333333333,0,3,3,2200000,2200000,733333333333333,0,,,
2;2;3130000;3130000;1565000;0;2,2,3130000,3130000,1565000,0;;;;1565000,0,2,2,3130000,3130000,1565000,0,,,
1;1;5,00E+05;9,00E+05;9,00E+05;0;1,1,500000,900000,900000,0;;;;900000,0,1,1,500000,900000,900000,0,,,
1;1;573.333.333.333.333;823.333.333.333.333;823.333.333.333.333;0;1,1,573333333333333,823333333333333,823333333333333,0;;;;823333333333333,0,1,1,573333333333333,823333333333333,823333333333333,0,,,
5;5;2980000;2980000;596000;0;5,5,2980000,2980000,596000,0;;;;596000,0,5,5,2980000,2980000,596000,0,,,
2;2;850000;1100000;550000;0;2,2,850000,1100000,550000,0;;;;550000,0,2,2,850000,1100000,550000,0,,,
2;2;125000;475000;237500;1;2,2,125000,475000,237500,1;;;;237500,1,2,2,125000,475000,237500,1,,,
2;2;450.000.333.333.333;800.000.333.333.333;400.000.166.666.667;0;2,2,450000333333333,800000333333333,400000166666667,0;;;;400000166666667,0,2,2,450000333333333,800000333333333,400000166666667,0,,,
5;5;428.816.666.666.667;443.816.666.666.667;887.633.333.333.333;0;5,5,428816666666667,443816666666667,887633333333333,0;;;;887633333333333,0,5,5,428816666666667,443816666666667,887633333333333,0,,,
5;5;2350000;2350000;470000;0;5,5,2350000,2350000,470000,0;;;;470000,0,5,5,2350000,2350000,470000,0,,,
3;3;0;3,00E+05;1,00E+05;1;3,3,0,300000,100000,1;;;;100000,1,3,3,0,300000,100000,1,,,
6;6;3167500;3567500;594.583.333.333.333;0;6,6,3167500,3567500,594583333333333,0;;;;594583333333333,0,6,6,3167500,3567500,594583333333333,0,,,
3;3;450000;7,00E+05;233.333.333.333.333;1;3,3,450000,700000,233333333333333,1;;;;233333333333333,1,3,3,450000,700000,233333333333333,1,,,
3;3;1425000;1725000;575000;0;3,3,1425000,1725000,575000,0;;;;575000,0,3,3,1425000,1725000,575000,0,,,
6;6;392.866.666.666.667;422.866.666.666.667;704.777.777.777.778;0;6,6,392866666666667,422866666666667,704777777777778,0;;;;704777777777778,0,6,6,392866666666667,422866666666667,704777777777778,0,,,
3;3;2850000;2850000;950000;0;3,3,2850000,2850000,950000,0;;;;950000,0,3,3,2850000,2850000,950000,0,,,
2;2;1360000;1660000;830000;0;2,2,1360000,1660000,830000,0;;;;830000,0,2,2,1360000,1660000,830000,0,,,
2;2;2360000;2960000;1480000;0;2,2,2360000,2960000,1480000,0;;;;1480000,0,2,2,2360000,2960000,1480000,0,,,
3;3;3343333;4343333;144.777.766.666.667;0;3,3,3343333,4343333,144777766666667,0;;;;144777766666667,0,3,3,3343333,4343333,144777766666667,0,,,
3;3;251.733.333.333.333;266.733.333.333.333;889.111.111.111.111;0;3,3,251733333333333,266733333333333,889111111111111,0;;;;889111111111111,0,3,3,251733333333333,266733333333333,889111111111111,0,,,
6;6;5665000;6165000;1027500;0;6,6,5665000,6165000,1027500,0;;;;1027500,0,6,6,5665000,6165000,1027500,0,,,
3;3;2509000;2709000;903000;0;3,3,2509000,2709000,903000,0;;;;903000,0,3,3,2509000,2709000,903000,0,,,
